鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
佳里區,房地(土地+建物),臺南市佳里區鎮山里７鄰崇德街３８號二樓,61.6,都市：其他:住宅區,,,1100721,土地3建物2車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840318,198.23999999999998,4,3,3,有,無,6300000,31780,,0.0,0,,RPWOMLTJRHGGFGD86DA,151.44,10.82,0.0,無,019
佳里區,土地,文化段138地號,2125.69,,特定農業區,農牧用地,1100823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,2352,,0.0,0,,RPPNMLKKRHGGFGD87DA,0.0,0.0,0.0,無,
將軍區,土地,忠興段141地號,1724.0,,特定農業區,農牧用地,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2379000,1380,,0.0,0,,RPSNMLKKRHGGFGD18DA,0.0,0.0,0.0,無,
佳里區,土地,延平段188-2地號,365.97,,一般農業區,甲種建築用地,1100907,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2768000,7563,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKRHGGFGD08DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物)+車位,臺南市新市區中正路９２巷１０號七樓之２,24.59,都市：其他:住宅區,,,1100822,土地3建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830806,152.41,3,2,2,有,有,7060000,46322,坡道平面,0.0,0,,RPRRMLSJRHGGFHD66DA,91.34,18.65,0.0,有,
善化區,土地,六分寮段993-130地號,2504.0,,一般農業區,農牧用地,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3004800,1200,,0.0,0,,RPXTMLSJRHGGFHD47DA,0.0,0.0,0.0,無,020
新化區,房地(土地+建物),臺南市新化區中正路５８０巷２之４號,34.26,都市：其他:住宅區,,,1100821,土地1建物1車位0,一層，二層，三層,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0831125,174.95,3,2,3,有,有,6000000,34296,,0.0,0,,RPVVMLSJRHGGFHD47DA,127.44,16.07,0.0,有,
新市區,房地(土地+建物),臺南市新市區豐榮１７７之２７號,314.64,,一般農業區,丁種建築用地,1100728,土地4建物1車位0,全,一層,透天厝,工廠,鋼骨構造有牆,1090115,162.62,1,0,2,有,無,19030000,117021,,0.0,0,,RPSPMLQJRHGGFHD98DA,162.62,0.0,0.0,無,021
新市區,房地(土地+建物),臺南市新市區潭頂１３８之５號,95.12,,鄉村區,乙種建築用地,1100731,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080429,143.66,4,2,3,有,無,10500000,73089,,0.0,0,,RPSOMLRJRHGGFHD98DA,135.93,7.73,0.0,無,022
新市區,土地,三舍段226-17地號,636.0,,鄉村區,乙種建築用地,1100428,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28000000,44025,,0.0,0,本案三舍段226-17地號買賣總價27500000元整三舍段226-24226-28226-32地號買賣總價500000元整.,RPPOMLTJRHGGFHD88DA,0.0,0.0,0.0,無,
新市區,房地(土地+建物),臺南市新市區龍目井路２６６號,82.76,都市：其他:生活服務區(第三種住宅區),,,1100731,土地4建物1車位0,全,四層,透天厝,住宅、停車空間,鋼筋混凝土造,1030911,198.3,3,3,5,有,無,16000000,80686,,0.0,0,,RPROMLTJRHGGFHD09DA,176.35,21.95,0.0,無,
新市區,土地,南社內段158地號,302.43,,特定農業區,農牧用地,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1640000,5423,,0.0,0,,RPQNMLKKRHGGFHD08DA,0.0,0.0,0.0,無,
